CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
1492EBJ3;1492EBJ3;F 21;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1492EBJD3;1492EBJD3;F 21;0;0;ALLEN BRADLEY;;;#N/D;;3;3;
1492EBL2;1492EBL2;F 20;49;0;ALLEN BRADLEY;;;#N/D;;49;0;
1492EBL6;1492EBL6;F 20;50;0;ALLEN BRADLEY;;;#N/D;;50;0;
1492EBLD2;1492EBLD2;F;300;0;ALLEN BRADLEY;;;#N/D;;300;0;
1492-ERL35;1492-ERL35;F;1;0;ALLEN BRADLEY;;MATERIAIS RASURADOS;#N/D;;1;0;
1492GM35;1492GM35;F 20;0;0;ALLEN BRADLEY;;;#N/D;;10;10;
1492GS2G060H1;1492GS2G060H1;F 21;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492-H;1492-H;F 39;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1492IFM20FN;1492IFM20FN;F 39;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492IFM40DS1204;1492IFM40DS1204;F 31;5;0;ALLEN BRADLEY;;;#N/D;;5;0;
1492J35;1492J35;F 21;24;0;ALLEN BRADLEY;;;#N/D;;24;0;
1492J3TW-BCO;1492J3TW-BCO;F 21;59;0;ALLEN BRADLEY;;;#N/D;;59;0;
1492J3TW-CZ;1492J3TW-CZ;F 20;135;0;ALLEN BRADLEY;;;#N/D;;135;0;
1492J3WBCO;1492J3WBCO;F 20;100;0;ALLEN BRADLEY;;;#N/D;;100;0;
1492J4;1492J4;F 21;10;0;ALLEN BRADLEY;;;#N/D;;10;0;
1492J4B;1492J4B;F 21;194;0;ALLEN BRADLEY;;;#N/D;;194;0;
1492J50B;1492J50B;F 20;10;0;ALLEN BRADLEY;;;#N/D;;10;0;
1492JD3C;1492JD3C;F 20;68;0;ALLEN BRADLEY;;;#N/D;;68;0;
1492JD3P;1492JD3P;F 21;9;0;ALLEN BRADLEY;;;#N/D;;9;0;
1492JD3RB121;1492JD3RB121;F 21;19;0;ALLEN BRADLEY;;;#N/D;;19;0;
1492JG120;1492JG120;F 20;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
